Label, CenterX(mils) from left corner, CenterY(mils) from left corner, Radius(mils), Suitable for Bellatrix team?
170, 3947.52, 2094.08, 16.191885986328124, No
171, 3845.12, 2094.08, 16.191885986328124, No
172, 3747.84, 2094.08, 15.361024169921876, No
173, 3650.56, 2094.08, 16.191885986328124, No
174, 3548.16, 2094.08, 16.191885986328124, No
175, 3456.0, 2094.08, 16.191885986328124, No
176, 3353.6, 2094.08, 16.191885986328124, No
177, 3251.2000000000003, 2094.08, 16.191885986328124, No
178, 3153.92, 2099.2, 20.48102294921875, No
179, 3051.52, 2099.2, 20.48102294921875, No
180, 4331.52, 2083.84, 15.361024169921876, No
181, 4234.24, 2083.84, 16.191885986328124, No
182, 4136.96, 2088.96, 20.48102294921875, No
183, 3251.2000000000003, 2001.92, 16.191885986328124, No
184, 3148.8, 2001.92, 16.191885986328124, No
185, 3056.64, 2001.92, 16.191885986328124, No
186, 2954.2400000000002, 2001.92, 16.191885986328124, No
187, 2851.84, 2001.92, 16.191885986328124, No
188, 2749.44, 2001.92, 16.191885986328124, No
189, 2657.28, 2001.92, 16.191885986328124, No
190, 2554.88, 2001.92, 16.191885986328124, No
191, 2452.48, 2001.92, 16.191885986328124, No
192, 2350.08, 2001.92, 16.191885986328124, No
193, 2247.68, 2001.92, 16.191885986328124, No
194, 2155.52, 2001.92, 16.191885986328124, No
195, 2053.12, 2001.92, 16.191885986328124, No
196, 1950.72, 2001.92, 16.191885986328124, No
197, 1848.32, 2001.92, 16.191885986328124, No
198, 4336.64, 1991.68, 16.191885986328124, No
199, 4234.24, 1991.68, 16.191885986328124, No
200, 4142.08, 1991.68, 16.191885986328124, No
201, 4039.6800000000003, 1991.68, 16.191885986328124, No
202, 3947.52, 1991.68, 16.191885986328124, No
203, 3845.12, 1991.68, 16.191885986328124, No
204, 3742.7200000000003, 1991.68, 16.191885986328124, No
205, 3650.56, 1991.68, 16.191885986328124, No
206, 3548.16, 1991.68, 16.191885986328124, No
207, 3450.88, 1996.8, 20.48102294921875, No
208, 3348.48, 1996.8, 20.48102294921875, No
209, 1848.32, 1904.64, 15.361024169921876, No
210, 3353.6, 1899.52, 16.191885986328124, No
